datetime,humidity,co2,soil,temperature
"05/12/65,01:42",82.24,524.57,40.2,27.64
"05/12/65,01:44",82.11,521.93,46.8,27.61
"05/12/65,01:46",82.14,509.91,41,27.57
"05/12/65,01:48",82.21,510.65,44.2,27.59
"05/12/65,01:50",82.18,498.5,45.4,27.56
"05/12/65,01:52",81.95,492.59,48.4,27.56
"05/12/65,01:54",82.07,497.3,40.2,27.54
"05/12/65,01:56",81.84,489.01,47,27.52
"05/12/65,01:58",81.84,487.9,40.2,27.53
"05/12/65,02:00",81.51,488.22,48.2,27.56
"05/12/65,02:02",81.78,483.13,39.2,27.56
"05/12/65,02:04",81.93,483.28,40.8,27.59
"05/12/65,02:06",81.68,474.76,44.8,27.59
"05/12/65,02:08",81.29,480.84,42.8,27.61
"05/12/65,02:10",81.1,478.41,40.8,27.63
"05/12/65,02:12",81.05,476.29,39.2,27.64
"05/12/65,02:14",80.98,487.15,39.8,27.69
"05/12/65,02:16",81.2,482.33,39.8,27.71
"05/12/65,02:18",80.89,478.46,36.6,27.7
"05/12/65,02:20",80.95,479.65,39.8,27.73
"05/12/65,02:22",80.6,476.68,39,27.74
"05/12/65,02:24",80.19,470.74,36.4,27.77
"05/12/65,02:26",80.54,464.59,45,27.76
"05/12/65,02:28",80.67,463.59,40.8,27.78
"05/12/65,02:30",80.36,460.15,43.4,27.8
"05/12/65,02:32",80.44,468.33,35.8,27.81
"05/12/65,02:34",80.12,462.89,37.4,27.81
"05/12/65,02:36",79.88,466.1,43.8,27.84
"05/12/65,02:38",79.85,467.88,41,27.83
"05/12/65,02:40",79.44,457.51,40.8,27.85
"05/12/65,02:42",79.23,464.47,39.2,27.88
"05/12/65,02:44",79.15,464.34,46,27.87
"05/12/65,02:46",79.4,465.9,32.4,27.88
"05/12/65,02:48",79.2,455.69,43.6,27.91
"05/12/65,02:50",79.43,459.17,43.4,27.92
"05/12/65,02:52",79.64,460.15,41.4,27.94
"05/12/65,02:54",79.48,454.85,32.4,27.97
"05/12/65,02:56",79.53,464.43,36.4,27.98
"05/12/65,02:58",79.38,471.44,44.8,27.97
"05/12/65,03:00",79.22,484.08,40.6,27.94
"05/12/65,03:02",79.35,474.69,44.4,27.92
"05/12/65,03:04",79.2,468.03,42.2,27.91
"05/12/65,03:06",79.57,465.53,38.6,27.88
"05/12/65,03:08",79.42,474.87,44.4,27.91
"05/12/65,03:10",79.59,473.75,39,27.88
"05/12/65,03:12",79.52,471.66,46.8,27.85
"05/12/65,03:14",79.55,464.88,40.2,27.83
"05/12/65,03:16",79.69,471.13,46.4,27.83
"05/12/65,03:18",79.45,461.53,43,27.81
"05/12/65,03:20",79.82,465.35,47,27.8
"05/12/65,03:22",79.93,461.61,43,27.8
"05/12/65,03:24",79.87,455.77,43,27.73
"05/12/65,03:26",80.21,457.26,40.4,27.73
"05/12/65,03:28",80.16,462.73,42.4,27.77
"05/12/65,03:30",80,462.23,44,27.77
"05/12/65,03:32",79.87,459.57,39.8,27.78
"05/12/65,03:34",79.96,467.57,38.8,27.8
"05/12/65,03:36",79.98,472.02,40.6,27.77
"05/12/65,03:38",79.74,475.18,44.8,27.76
"05/12/65,03:40",79.73,472.92,43,27.73
"05/12/65,03:42",79.67,467.11,37.2,27.7
"05/12/65,03:44",79.76,467.15,45.6,27.66
"05/12/65,03:46",79.69,470.56,44.2,27.63
"05/12/65,03:48",79.77,472.41,40,27.6
"05/12/65,03:50",79.78,478.89,36.8,27.56
"05/12/65,03:52",80.43,489.65,39.2,27.53
"05/12/65,03:54",80.54,488.76,46,27.46
"05/12/65,03:56",80.61,490.74,44.4,27.46
"05/12/65,03:58",81.05,492,41.4,27.42
"05/12/65,04:00",81.18,494.94,39.6,27.4
"05/12/65,04:02",81.49,487.09,45.4,27.37
"05/12/65,04:04",81.54,487.08,43,27.36
"05/12/65,04:06",81.73,478.59,41.2,27.33
"05/12/65,04:08",82.03,484.22,44,27.32
"05/12/65,04:10",81.98,485.43,34.4,27.34
"05/12/65,04:12",81.92,471.29,46,27.3
"05/12/65,04:14",81.8,477.69,42.8,27.3
"05/12/65,04:16",81.7,475.35,42.4,27.3
"05/12/65,04:18",81.62,473.55,43.2,27.33
"05/12/65,04:20",81.68,472.59,44.8,27.34
"05/12/65,04:22",81.48,458.81,38.6,27.3
"05/12/65,04:24",81.36,468.28,48.6,27.3
"05/12/65,04:26",81.32,457.3,46.2,27.32
"05/12/65,04:28",81.36,465.5,45.2,27.33
"05/12/65,04:30",81.7,468.18,43.2,27.34
"05/12/65,04:32",81.57,471.17,40.2,27.36
"05/12/65,04:34",81,464.6,45.6,27.33
"05/12/65,04:36",80.84,468.13,38.8,27.37
"05/12/65,04:38",81.1,464.2,41.4,27.39
"05/12/65,04:40",81,472.44,41.8,27.45
"05/12/65,04:42",81.04,469.54,43.2,27.45
"05/12/65,04:44",81.2,465.72,41,27.43
"05/12/65,04:46",80.8,467.19,47.2,27.43
"05/12/65,04:48",80.72,473.57,39,27.45
"05/12/65,04:50",80.66,473.11,42.2,27.47
"05/12/65,04:52",80.62,468.29,40.4,27.45
"05/12/65,04:54",80.69,473.66,45.2,27.43
"05/12/65,04:56",80.9,489,39.2,27.4
"05/12/65,04:58",80.92,495.87,39.4,27.39
"05/12/65,05:00",80.81,489.27,44.8,27.39
"05/12/65,05:02",81.09,486.63,40.4,27.37
"05/12/65,05:04",81.14,493.93,39,27.37
"05/12/65,05:06",81.18,490.09,41.4,27.36
"05/12/65,05:08",81.13,488.98,45.8,27.37
"05/12/65,05:10",81.1,482.72,44,27.34
"05/12/65,05:12",81.05,478.57,41.4,27.33
"05/12/65,05:14",81.01,480.91,42.2,27.32
"05/12/65,05:16",80.94,484.73,44.4,27.28
"05/12/65,05:18",80.9,482.22,43.6,27.26
"05/12/65,05:20",80.84,496.71,45.2,27.23
"05/12/65,05:22",80.89,491.39,42,27.2
"05/12/65,05:24",80.8,500.96,50.4,27.19
"05/12/65,05:26",80.75,501.56,45.6,27.16
"05/12/65,05:28",80.81,498.9,46,27.12
"05/12/65,05:30",80.81,491.44,39.4,27.12
"05/12/65,05:32",80.96,493.51,43,27.05
"05/12/65,05:34",81.04,493.16,43.2,27.02
"05/12/65,05:36",80.93,488.05,47,26.99
"05/12/65,05:38",80.95,494.19,44.4,26.98
"05/12/65,05:40",81.16,492.97,46.8,26.94
"05/12/65,05:42",81.18,497.37,48.6,26.92
"05/12/65,05:44",81.29,494.45,47.2,26.89
"05/12/65,05:46",81.54,498.39,38.4,26.92
"05/12/65,05:48",81.55,491.34,45.4,26.88
"05/12/65,05:50",81.4,481.29,39,26.84
"05/12/65,05:52",81.37,479.24,50.4,26.81
"05/12/65,05:54",81.11,477.1,46.2,26.79
"05/12/65,05:56",80.71,465.87,40.2,26.74
"05/12/65,05:58",80.56,452.14,42.8,26.75
"05/12/65,06:00",80.69,454.94,42,26.78
"05/12/65,06:02",80.32,459.1,39,26.79
"05/12/65,06:04",80.32,460.17,45.2,26.87
"05/12/65,06:06",80.15,462.28,45.4,26.89
"05/12/65,06:08",79.93,462.64,39.4,26.94
"05/12/65,06:10",79.85,466.68,41,26.97
"05/12/65,06:12",79.72,459.31,47.8,26.97
"05/12/65,06:14",79.44,457.06,43.8,27.01
"05/12/65,06:16",79.3,466.17,44.8,27.05
"05/12/65,06:18",79.67,469.76,40.2,27.09
"05/12/65,06:20",79.62,465.69,41.4,27.08
"05/12/65,06:22",79.44,463.71,39.8,27.08
"05/12/65,06:24",79.39,460,39.6,27.09
"05/12/65,06:26",79.53,466.6,46.2,27.12
"05/12/65,06:28",79.59,467.12,39.8,27.15
"05/12/65,06:30",79.69,466.74,44.8,27.16
"05/12/65,06:32",79.37,463.3,38.6,27.13
"05/12/65,06:34",78.94,452.87,45.8,27.12
"05/12/65,06:36",78.78,454.78,38.6,27.09
"05/12/65,06:38",79.04,456.07,43.4,27.13
"05/12/65,06:40",78.86,453.84,45.6,27.13
"05/12/65,06:42",78.6,453.45,42.6,27.19
"05/12/65,06:44",78.44,457.46,36,27.19
"05/12/65,06:46",78.48,451.28,42.2,27.23
"05/12/65,06:48",78.47,450.58,45.6,27.26
"05/12/65,06:50",78.35,453.78,40.2,27.33
"05/12/65,06:52",78,453.01,48.2,27.32
"05/12/65,06:54",77.73,451.2,38,27.36
"05/12/65,06:56",77.7,450.22,43.2,27.42
"05/12/65,06:58",77.44,444.53,46.4,27.46
"05/12/65,07:00",77.27,455.15,42.8,27.53
"05/12/65,07:02",77.21,446.76,42.8,27.6
"05/12/65,07:04",76.77,444.11,49.2,27.67
"05/12/65,07:06",76.64,450.14,42.4,27.77
"05/12/65,07:08",76.58,443.62,38.8,27.87
"05/12/65,07:10",76.49,435.69,44.6,27.95
"05/12/65,07:12",76.24,444.16,46.8,28.05
"05/12/65,07:14",76.24,445.33,38.6,28.19
"05/12/65,07:16",76.25,437.88,43,28.25
